Date,Time,Julian_Day,Julian_Century,Geom_Mean_Long_Sun(deg),Geom_Mean_Anom_Sun(deg),Eccent_Earth_Orbit,Sun_Eq_of_Ctr,Sun_True_Long(deg),Sun_True_Anom(deg),Sun_Rad_Vector(AUs),Sun_App_Long(deg),Mean_Obliq_Ecliptic(deg),Obliq_Corr(deg),Sun_Rt_Ascen(deg),Sun_Declin(deg),var_y,Eq_of_Time(min),HA_Sunrise(deg),Solar_Noon(LST),Sunrise_Time(LST),Sunset_Time(LST),Sunlight_Duration(min),Dark_Duration(min),True_Solar_Time(min),Hour_Angle(deg),Solar_Zenith_Angle(deg),Solar_Elevation_Angle(deg),Approx_Atomospheric_Refraction,Solar_Elevation_corr(deg),Solar_Azimuth_Angle(deg_cw_from_N)
2021-07-30,12:00:00,2459426.2916666665,0.2157780059320058,128.6408000515512,8125.3323898659,0.016699557440793905,-0.8035872779431148,127.83721277360809,8124.528802587957,1.0151446950793017,127.827100398086,23.436485095387887,23.437456668892647,130.2398378579737,18.310537324947695,0.04302760188217872,-6.434981203724914,107.74835922201997,12:34:02,5:23:02,19:45:01,861.9868737761598,578.0131262238402,685.9650187962751,-8.508745300931224,23.55253945381599,66.447460546184,0.007033382583973786,66.45449392876797,159.4189243020303
2021-07-31,12:00:00,2459427.2916666665,0.21580538443987712,129.62644741529857,8126.31799014581,0.01669955628838647,-0.8327933246563551,128.7936540906422,8125.485196821153,1.0150232431052568,128.78354339364063,23.436484739353197,23.43745850142292,131.2120847676408,18.06233658261116,0.043027608802048416,-6.381359276139767,107.49845701963667,12:33:58,5:23:58,19:43:57,859.9876561570934,580.0123438429066,686.0186407238602,-8.495339819034939,23.787314549011896,66.2126854509881,0.007112165389878568,66.21979761637799,159.62199655696713
2021-08-01,12:00:00,2459428.2916666665,0.21583276294774842,130.61209477904504,8127.303590425716,0.01669955513597884,-0.8617663612961707,129.75032841774888,8126.44182406442,1.014897461597661,129.74021940304385,23.436484383318508,23.43746033312143,132.1817976869464,17.809224331160014,0.04302761571877786,-6.317598249188556,107.24471094764334,12:33:55,5:24:56,19:42:53,857.9576875811467,582.0423124188533,686.0824017508114,-8.479399562297147,24.02639953953125,65.97360046046875,0.007192686220385683,65.98079314668914,159.83042312549583
2021-08-02,12:00:00,2459429.2916666665,0.21586014145561974,131.59774214279332,8128.2891907056255,0.016699553983571026,-0.8904981705942046,130.7072439721991,8127.398692535031,1.0147673845511143,130.69713664356524,23.436484027283818,23.4374621639863,133.14897993684428,17.551281070093967,0.04302762263235999,-6.243713720602344,106.98724259017308,12:33:50,5:25:53,19:41:46,855.8979407213847,584.1020592786153,686.1562862793976,-8.460928430150602,24.26974294106994,65.73025705893006,0.007274948109808958,65.73753200703987,160.043922931814
2021-08-03,12:00:00,2459430.2916666665,0.21588751996349106,132.5833895065416,8129.274790985533,0.01669955283116302,-0.9189805913624539,131.66440891517917,8128.355810394171,1.0146330471481824,131.65430327638967,23.43648367124913,23.437463994015673,134.11363793817176,17.288588021835988,0.043027629542787764,-6.1597339678877745,106.72617182930334,12:33:45,5:26:50,19:40:39,853.8093746344267,586.1906253655733,686.2402660321122,-8.439933491971942,24.51729322034202,65.48270677965797,0.007358954640761451,65.49006573429874,160.262215967555
2021-08-04,12:00:00,2459431.2916666665,0.2159148984713624,133.5690368702899,8130.26039126544,0.016699551678754823,-0.9472055205112926,132.6218313497786,8129.313185744929,1.0144944857526115,132.6117274046052,23.436483315214442,23.437465823207674,135.07578116351428,17.02122708493695,0.04302763645005412,-6.065699731295965,106.4616167346818,12:33:39,5:27:48,19:39:29,851.6929338774544,588.3070661225456,686.334300268704,-8.416424932823986,24.768998732762224,65.23100126723777,0.007444709933810206,65.23844597717158,160.48502382745448
2021-08-05,12:00:00,2459432.2916666665,0.2159422769792337,134.55468423404,8131.245991545349,0.016699550526346436,-0.9751649150661936,133.5795193189738,8130.270826630283,1.0143517379022906,133.5694170711868,23.436482959179752,23.43746765156044,136.0354220861592,16.749280789079656,0.043027643354152004,-5.961663981022936,106.19369346390413,12:33:33,5:28:46,19:38:19,849.549547711233,590.450452288767,686.438336018977,-8.39041599525575,25.024807660654854,64.97519233934514,0.007532218637103622,64.98272455798225,160.71207020472673
2021-08-06,12:00:00,2459433.2916666665,0.21596965548710503,135.54033159778828,8132.231591825257,0.01669954937393786,-1.0028507941825786,134.5374808036057,8131.228741031075,1.014204842301951,134.5273802569739,23.436482603145063,23.4374694790721,136.99257612641122,16.472832251925485,0.04302765025507438,-5.847691669977785,105.92251617341016,12:33:26,5:29:44,19:37:07,847.3801293872813,592.6198706127187,686.5523083300222,-8.36192291749444,25.284667952307245,64.71533204769275,0.007621485916034827,64.72295353360879,160.94308134727498
2021-08-07,12:00:00,2459434.2916666665,0.21599703399497636,136.52597896153839,8133.217192105163,0.016699548221529095,-1.0302552411594283,135.49572372037895,8132.186936864004,1.014053838815606,135.4856248786698,23.436482247110376,23.437471305740797,137.94726159556328,16.191965137831534,0.043027657152814223,-5.7238594734716015,105.64819693962541,12:33:19,5:30:43,19:35:54,845.1855755170033,594.8144244829967,686.6761405265283,-8.330964868367914,25.548527262162196,64.4514727378378,0.007712517442997795,64.4591852552808,161.17778647597265
2021-08-08,12:00:00,2459435.2916666665,0.21602441250284768,137.5116263252894,8134.20279238507,0.01669954706912014,-1.0573704054512711,136.45425591983812,8133.145421979619,1.013898768458728,136.44415878681755,23.436481891075687,23.43747313156466,138.8994996377373,15.906763618479445,0.04302766404736443,-5.590255517199365,105.37084569006741,12:33:11,5:31:41,19:34:40,842.9667655205393,597.0332344794607,686.8097444828006,-8.297563879299844,25.816332892395877,64.18366710760412,0.007805319387277752,64.1914724269914,161.41591816630682
2021-08-09,12:00:00,2459436.2916666665,0.216051791010719,138.4972736890404,8135.188392664978,0.01669954591671099,-1.0841885046775477,137.41308518436287,8134.1042041603005,1.01373967339016,137.40298976379532,23.436481535041,23.437474956541827,139.8493141698891,15.617312335425702,0.043027670938718024,-5.446979094898371,105.09057014408879,12:33:02,5:32:40,19:33:23,840.7245611527103,599.2754388472897,686.9530209051017,-8.261744773724587,26.08803173612424,63.911968263875764,0.007899898405117579,63.919868162280885,161.65721269473624
2021-08-10,12:00:00,2459437.2916666665,0.21607916951859032,139.48292105279234,8136.173992944883,0.016699544764301657,-1.1107018266301585,138.37221922616217,8135.063291118253,1.0135765969037662,138.3621255218107,23.436481179006314,23.437476780670437,140.79673182019854,15.323696364594362,0.04302767782686794,-5.2941403770604225,104.80747576292646,12:32:53,5:33:39,19:32:06,838.4598061034117,601.5401938965883,687.1058596229395,-8.223535094265117,26.36357022243439,63.63642977756561,0.00799626162998707,63.644426039195594,161.90141035115983
2021-08-11,12:00:00,2459438.2916666665,0.21610654802646165,140.46856841654426,8137.15959322479,0.01669954361189213,-1.1369027312789888,139.33166568526528,8136.022690493511,1.013409583419805,139.32157370089138,23.436480822971625,23.437478603948623,141.74178186507478,15.026001182722583,0.04302768471180714,-5.13186011207477,104.52166570870745,12:32:43,5:34:37,19:30:48,836.1733256696596,603.8266743303404,687.2681398879253,-8.182965028018685,26.64289426341694,63.35710573658306,0.008094416663075754,63.365200153246136,162.14825571890287
2021-08-12,12:00:00,2459439.2916666665,0.21613392653433297,141.4542157802971,8138.145193504696,0.016699542459482415,-1.1627836527739142,140.29143212752317,8136.982409851922,1.013238678476043,140.28134186688695,23.43648046693694,23.43748042637453,142.68449616501408,14.724312635757672,0.04302769159352862,-4.960269321170612,104.23324081204319,12:32:33,5:35:37,19:29:28,833.8659264963455,606.1340735036545,687.4397306788294,-8.140067330292652,26.925949203354044,63.074050796645956,0.008194371564023804,63.08224516820998,162.3974979236575
2021-08-13,12:00:00,2459440.2916666665,0.2161613050422043,142.43986314404992,8139.130793784601,0.016699541307072508,-1.1883371014447537,141.25152604260518,8137.942456683157,1.0130639287185943,141.24143750946524,23.436480110902252,23.437482247946296,143.624909099504,14.418716909208808,0.04302769847202534,-4.779508988498857,103.94229954784613,12:32:22,5:36:35,19:28:08,831.5383963827691,608.4616036172309,687.6204910115011,-8.094877247124714,27.212679770184458,62.78732022981554,0.008296134841894539,62.795616364657434,162.64889085279947
